embinsert,kloterinsert,flightnoinsert,originsert,registerinsert,destinsert,depdateinsert,etdinsert,arrdateinsert,etainsert,actypeinsert
SOC,035,6435,KNO,PK-GHI,SOC,14062026,0810,14062026,1110,33L
SOC,036,6336,SOC,PK-GHI,JED,13062026,1515,14062026,0155,33H
SOC,036,6436,JED,PK-GHI,KNO,14062026,0355,14062026,1310,33H
SOC,036,6436,KNO,PK-GHI,SOC,14062026,1410,14062026,1710,33H
SOC,037,6337,SOC,PK-GHI,JED,13062026,1935,14062026,0600,333
SOC,037,6437,JED,PK-GHI,KNO,14062026,0800,14062026,1710,333
SOC,037,6437,KNO,PK-GHI,SOC,14062026,1810,14062026,2105,333
SOC,038,6338,SOC,PK-GHI,JED,13062026,2320,14062026,1000,333
SOC,038,6438,JED,PK-GHI,KNO,14062026,1200,14062026,2115,333
SOC,038,6438,KNO,PK-GHI,SOC,14062026,2215,15062026,0115,333
SOC,039,6339,SOC,PK-GHI,JED,14062026,1050,14062026,2130,333
SOC,039,6439,JED,PK-GHI,KNO,14062026,2330,15062026,0845,333
SOC,039,6439,KNO,PK-GHI,SOC,15062026,0945,15062026,1245,333
SOC,040,6340,SOC,PK-GHI,JED,14062026,1820,15062026,0500,33L
SOC,040,6440,JED,PK-GHI,KNO,15062026,0700,15062026,1615,33L
SOC,040,6440,KNO,PK-GHI,SOC,15062026,1715,15062026,2015,33L
SOC,041,6341,SOC,PK-GHI,JED,14062026,2220,15062026,0900,33H
SOC,041,6441,JED,PK-GHI,KNO,15062026,1100,15062026,2015,33H
SOC,041,6441,KNO,PK-GHI,SOC,15062026,2115,16062026,0015,33H
SOC,042,6342,SOC,PK-GHI,JED,15062026,0335,15062026,1400,333
SOC,042,6442,JED,PK-GHI,KNO,15062026,1600,16062026,0110,333
SOC,042,6442,KNO,PK-GHI,SOC,16062026,0210,16062026,0505,333
SOC,043,6343,SOC,PK-GHI,JED,15062026,0720,15062026,1800,333
SOC,043,6443,JED,PK-GHI,KNO,15062026,2000,16062026,0515,333
SOC,043,6443,KNO,PK-GHI,SOC,16062026,0615,16062026,0915,333
SOC,044,6344,SOC,PK-GHI,MED,15062026,2130,16062026,0800,333
SOC,044,6444,MED,PK-GHI,HYD,16062026,1000,16062026,1545,333
SOC,044,6444,HYD,PK-GHI,SOC,16062026,1645,16062026,2305,333
SOC,045,6345,SOC,PK-GHI,MED,16062026,0330,16062026,1400,33L
SOC,045,6445,MED,PK-GHI,HYD,16062026,1600,16062026,2145,33L
SOC,045,6445,HYD,PK-GHI,SOC,16062026,2245,17062026,0505,33L
SOC,046,6346,SOC,PK-GHI,MED,16062026,1030,16062026,2100,33H
SOC,046,6446,MED,PK-GHI,HYD,16062026,2300,17062026,0445,33H
SOC,046,6446,HYD,PK-GHI,SOC,17062026,0545,17062026,1205,33H
SOC,047,6347,SOC,PK-GHI,MED,16062026,1250,16062026,2300,333
SOC,047,6447,MED,PK-GHI,HYD,17062026,0100,17062026,0635,333
